"Timestamp";"DeviceId";"Value0";"Scale0";"Unit0";"Description0";"User0";"Timestamp0";"ObisId0"
1519862400;"TIP-00078107-03-02";"568661";1e0;"Wh";"Energy";;0;
1519862403;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519862521;"TIP-00078107-03-02";"568661";1e0;"Wh";"Energy";;0;
1519862522;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519862640;"TIP-00078107-03-02";"568661";1e0;"Wh";"Energy";;0;
1519862642;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519862761;"TIP-00078107-03-02";"568661";1e0;"Wh";"Energy";;0;
1519862762;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519862880;"TIP-00078107-03-02";"568661";1e0;"Wh";"Energy";;0;
1519862882;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863001;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863002;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863120;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863122;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863241;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863242;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863360;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863362;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863481;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863482;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863600;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863602;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863714;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863715;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863720;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863722;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863841;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863842;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519863960;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519863962;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519864080;"TIP-00078107-03-02";"568662";1e0;"Wh";"Energy";;0;
1519864082;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519864201;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864202;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519864320;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864322;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519864441;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864442;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519864560;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864562;"TIP-00078155-03-02";"1107637";1e0;"Wh";"Energy";;0;
1519864681;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864682;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519864800;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864802;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519864920;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519864921;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865040;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519865042;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865161;"TIP-00078107-03-02";"568663";1e0;"Wh";"Energy";;0;
1519865162;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865280;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519865282;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865401;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519865402;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865521;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519865522;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865640;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519865642;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865761;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519865762;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519865880;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519865881;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866000;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519866002;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866143;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519866144;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866241;"TIP-00078107-03-02";"568664";1e0;"Wh";"Energy";;0;
1519866242;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866360;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519866362;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866481;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519866482;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866600;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519866602;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866720;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519866722;"TIP-00078155-03-02";"1107638";1e0;"Wh";"Energy";;0;
1519866841;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519866842;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519866960;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519866962;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867081;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519867082;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867200;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519867202;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867320;"TIP-00078107-03-02";"568665";1e0;"Wh";"Energy";;0;
1519867322;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867441;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519867442;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867560;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519867562;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867681;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519867682;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867800;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519867802;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519867920;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519867921;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868040;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519868042;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868160;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519868161;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868280;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519868282;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868400;"TIP-00078107-03-02";"568666";1e0;"Wh";"Energy";;0;
1519868402;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868551;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519868552;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868641;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519868642;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868760;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519868762;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519868880;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519868881;"TIP-00078155-03-02";"1107639";1e0;"Wh";"Energy";;0;
1519869000;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519869002;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869120;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519869122;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869241;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519869242;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869360;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519869362;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869481;"TIP-00078107-03-02";"568667";1e0;"Wh";"Energy";;0;
1519869482;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869600;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519869602;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869720;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519869722;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869841;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519869842;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519869960;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519869962;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870081;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519870082;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870200;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519870202;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870320;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519870322;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870441;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519870442;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870560;"TIP-00078107-03-02";"568668";1e0;"Wh";"Energy";;0;
1519870562;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870681;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519870682;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870800;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519870802;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519870955;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519870956;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519871040;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519871042;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519871160;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519871162;"TIP-00078155-03-02";"1107640";1e0;"Wh";"Energy";;0;
1519871281;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519871282;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519871400;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519871402;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519871520;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519871522;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519871641;"TIP-00078107-03-02";"568669";1e0;"Wh";"Energy";;0;
1519871642;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519871760;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519871762;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519871880;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519871881;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872001;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872002;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872121;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872122;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872240;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872242;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872361;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872362;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872480;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872482;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872601;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872602;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872721;"TIP-00078107-03-02";"568670";1e0;"Wh";"Energy";;0;
1519872722;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872840;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519872842;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519872960;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519872961;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519873081;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873082;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519873200;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873202;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519873322;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873323;"TIP-00078155-03-02";"1107641";1e0;"Wh";"Energy";;0;
1519873440;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873441;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519873560;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873562;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519873680;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873682;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519873801;"TIP-00078107-03-02";"568671";1e0;"Wh";"Energy";;0;
1519873802;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519873921;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519873922;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874040;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874042;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874161;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874162;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874281;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874282;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874400;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874402;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874520;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874522;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874641;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874642;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874760;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874762;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519874880;"TIP-00078107-03-02";"568672";1e0;"Wh";"Energy";;0;
1519874882;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519875001;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875002;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519875121;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875122;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519875240;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875242;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519875360;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875362;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519875481;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875482;"TIP-00078155-03-02";"1107642";1e0;"Wh";"Energy";;0;
1519875601;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875602;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519875702;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875703;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519875721;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875722;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519875840;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875842;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519875961;"TIP-00078107-03-02";"568673";1e0;"Wh";"Energy";;0;
1519875962;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876080;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876082;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876200;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876202;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876320;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876322;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876441;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876442;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876560;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876562;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876680;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876682;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876801;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876802;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519876921;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519876922;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877040;"TIP-00078107-03-02";"568674";1e0;"Wh";"Energy";;0;
1519877042;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877160;"TIP-00078107-03-02";"568675";1e0;"Wh";"Energy";;0;
1519877162;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877281;"TIP-00078107-03-02";"568675";1e0;"Wh";"Energy";;0;
1519877282;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877400;"TIP-00078107-03-02";"568687";1e0;"Wh";"Energy";;0;
1519877402;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877520;"TIP-00078107-03-02";"568745";1e0;"Wh";"Energy";;0;
1519877522;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877641;"TIP-00078107-03-02";"568801";1e0;"Wh";"Energy";;0;
1519877642;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877760;"TIP-00078107-03-02";"568856";1e0;"Wh";"Energy";;0;
1519877762;"TIP-00078155-03-02";"1107643";1e0;"Wh";"Energy";;0;
1519877880;"TIP-00078107-03-02";"568906";1e0;"Wh";"Energy";;0;
1519877882;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878001;"TIP-00078107-03-02";"568954";1e0;"Wh";"Energy";;0;
1519878002;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878091;"TIP-00078107-03-02";"568993";1e0;"Wh";"Energy";;0;
1519878092;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878121;"TIP-00078107-03-02";"569004";1e0;"Wh";"Energy";;0;
1519878122;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878240;"TIP-00078107-03-02";"569052";1e0;"Wh";"Energy";;0;
1519878242;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878360;"TIP-00078107-03-02";"569100";1e0;"Wh";"Energy";;0;
1519878362;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878481;"TIP-00078107-03-02";"569149";1e0;"Wh";"Energy";;0;
1519878482;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878601;"TIP-00078107-03-02";"569197";1e0;"Wh";"Energy";;0;
1519878602;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878720;"TIP-00078107-03-02";"569243";1e0;"Wh";"Energy";;0;
1519878722;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878840;"TIP-00078107-03-02";"569290";1e0;"Wh";"Energy";;0;
1519878842;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519878961;"TIP-00078107-03-02";"569338";1e0;"Wh";"Energy";;0;
1519878962;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519879080;"TIP-00078107-03-02";"569385";1e0;"Wh";"Energy";;0;
1519879082;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519879200;"TIP-00078107-03-02";"569431";1e0;"Wh";"Energy";;0;
1519879202;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519879320;"TIP-00078107-03-02";"569477";1e0;"Wh";"Energy";;0;
1519879322;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519879440;"TIP-00078107-03-02";"569524";1e0;"Wh";"Energy";;0;
1519879442;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
1519879561;"TIP-00078107-03-02";"569571";1e0;"Wh";"Energy";;0;
1519879562;"TIP-00078155-03-02";"1107644";1e0;"Wh";"Energy";;0;
